transaction_id,customer_id,transaction_date,subtotal,promotion_id,final_amount,true_segment,used_promo
T000001,C0001,2024-03-11,336.73,P_WINBACK,252.55,New,1
T000002,C0002,2024-06-28,948.07,P_MIDYEAR,748.07,At-Risk,1
T000003,C0002,2024-04-24,395.81,NONE,395.81,At-Risk,0
T000004,C0002,2024-04-14,654.98,NONE,654.98,At-Risk,0
T000005,C0002,2024-04-28,312.84,NONE,312.84,At-Risk,0
T000006,C0002,2024-03-31,666.3,P_PAYDAY,616.3,At-Risk,1
T000007,C0002,2024-01-18,505.58,P_LOYAL,429.74,At-Risk,1
T000008,C0003,2024-06-01,894.4,NONE,894.4,Loyal,0
T000009,C0003,2024-01-05,851.04,NONE,851.04,Loyal,0
T000010,C0003,2024-02-08,345.5,NONE,345.5,Loyal,0
T000011,C0003,2024-03-05,396.75,NONE,396.75,Loyal,0
T000012,C0003,2024-06-07,921.27,NONE,921.27,Loyal,0
T000013,C0003,2024-06-03,254.0,NONE,254.0,Loyal,0
T000014,C0003,2024-02-13,492.51,NONE,492.51,Loyal,0
T000015,C0003,2024-05-05,226.08,NONE,226.08,Loyal,0
T000016,C0003,2024-03-18,595.22,P_LOYAL,505.94,Loyal,1
T000017,C0003,2024-02-06,439.95,P_WEEKEND,409.95,Loyal,1
T000018,C0004,2024-02-11,115.85,P_WELCOME,15.85,At-Risk,1
T000019,C0005,2024-04-23,940.26,P_LOYAL,799.22,At-Risk,1
T000020,C0005,2024-05-05,566.72,NONE,566.72,At-Risk,0
T000021,C0005,2024-01-12,926.1,P_LOYAL,787.18,At-Risk,1
T000022,C0005,2024-03-24,226.63,P_LOYAL,192.64,At-Risk,1
T000023,C0005,2024-06-05,478.87,NONE,478.87,At-Risk,0
T000024,C0005,2024-03-03,609.46,P_PAYDAY,559.46,At-Risk,1
T000025,C0005,2024-05-12,421.5,NONE,421.5,At-Risk,0
T000026,C0005,2024-06-06,624.14,P_MIDYEAR,424.14,At-Risk,1
T000027,C0006,2024-02-27,142.85,NONE,142.85,Loyal,0
T000028,C0006,2024-03-11,161.32,NONE,161.32,Loyal,0
T000029,C0007,2024-04-26,831.76,NONE,831.76,Loyal,0
T000030,C0007,2024-05-10,221.48,P_WEEKEND,191.48,Loyal,1
T000031,C0007,2024-01-24,230.21,NONE,230.21,Loyal,0
T000032,C0007,2024-06-21,211.7,P_WEEKEND,181.7,Loyal,1
T000033,C0007,2024-06-01,494.51,P_PAYDAY,444.51,Loyal,1
T000034,C0007,2024-05-24,525.06,P_PAYDAY,475.06,Loyal,1
T000035,C0007,2024-04-24,793.78,P_LOYAL,674.71,Loyal,1
T000036,C0007,2024-02-23,407.51,P_LOYAL,346.38,Loyal,1
T000037,C0008,2024-04-19,57.56,P_PAYDAY,7.56,Champion,1
T000038,C0008,2024-06-04,72.68,NONE,72.68,Champion,0
T000039,C0009,2024-03-08,130.67,NONE,130.67,Champion,0
T000040,C0009,2024-06-23,113.9,P_PAYDAY,63.9,Champion,1
T000041,C0010,2024-05-03,448.63,P_LOYAL,381.34,At-Risk,1
T000042,C0010,2024-04-17,760.59,NONE,760.59,At-Risk,0
T000043,C0010,2024-04-25,252.75,NONE,252.75,At-Risk,0
T000044,C0010,2024-05-24,896.11,NONE,896.11,At-Risk,0
T000045,C0010,2024-03-17,653.73,P_WEEKEND,623.73,At-Risk,1
T000046,C0010,2024-05-21,616.48,NONE,616.48,At-Risk,0
T000047,C0010,2024-04-03,657.35,P_PAYDAY,607.35,At-Risk,1
T000048,C0010,2024-03-11,4622.04,NONE,4622.04,At-Risk,0
T000049,C0010,2024-04-10,979.63,NONE,979.63,At-Risk,0
T000050,C0010,2024-02-16,836.44,NONE,836.44,At-Risk,0
T000051,C0010,2024-03-23,468.1,NONE,468.1,At-Risk,0
T000052,C0011,2024-01-01,263.43,NONE,263.43,Champion,0
T000053,C0011,2024-02-14,111.23,P_WINBACK,83.42,Champion,1
T000054,C0012,2024-05-13,2522.55,NONE,2522.55,At-Risk,0
T000055,C0012,2024-02-07,908.67,P_WEEKEND,878.67,At-Risk,1
T000056,C0012,2024-02-08,1571.9,NONE,1571.9,At-Risk,0
T000057,C0012,2024-02-03,1454.68,NONE,1454.68,At-Risk,0
T000058,C0012,2024-02-03,875.05,P_PAYDAY,825.05,At-Risk,1
T000059,C0012,2024-04-12,2098.35,P_CHAMPION,1678.68,At-Risk,1
T000060,C0012,2024-03-22,2393.96,NONE,2393.96,At-Risk,0
T000061,C0012,2024-01-01,627.95,P_CHAMPION,502.36,At-Risk,1
T000062,C0012,2024-05-17,1402.21,P_CHAMPION,1121.77,At-Risk,1
T000063,C0012,2024-02-11,1588.84,NONE,1588.84,At-Risk,0
T000064,C0012,2024-04-07,1008.22,P_PAYDAY,958.22,At-Risk,1
T000065,C0012,2024-02-17,2688.89,P_CHAMPION,2151.11,At-Risk,1
T000066,C0012,2024-02-07,1536.63,P_WEEKEND,1506.63,At-Risk,1
T000067,C0012,2024-05-12,2976.81,NONE,2976.81,At-Risk,0
T000068,C0012,2024-01-29,1705.53,NONE,1705.53,At-Risk,0
T000069,C0013,2024-02-11,172.67,NONE,172.67,At-Risk,0
T000070,C0013,2024-06-02,181.96,NONE,181.96,At-Risk,0
T000071,C0014,2024-03-02,577.55,NONE,577.55,Champion,0
T000072,C0014,2024-01-30,6622.42,P_LOYAL,5629.06,Champion,1
T000073,C0014,2024-05-17,237.16,P_PAYDAY,187.16,Champion,1
T000074,C0014,2024-02-05,724.39,NONE,724.39,Champion,0
T000075,C0014,2024-03-02,949.64,P_LOYAL,807.19,Champion,1
T000076,C0014,2024-03-10,924.89,NONE,924.89,Champion,0
T000077,C0014,2024-01-20,629.45,P_WEEKEND,599.45,Champion,1
T000078,C0015,2024-05-30,189.54,P_WEEKEND,159.54,At-Risk,1
T000079,C0015,2024-04-04,152.87,P_DOUBLE_SALE,134.53,At-Risk,1
T000080,C0016,2024-06-10,353.93,NONE,353.93,Loyal,0
T000081,C0016,2024-05-15,306.48,NONE,306.48,Loyal,0
T000082,C0016,2024-04-30,483.74,NONE,483.74,Loyal,0
T000083,C0016,2024-05-26,349.05,NONE,349.05,Loyal,0
T000084,C0016,2024-02-12,514.79,NONE,514.79,Loyal,0
T000085,C0016,2024-04-15,358.28,NONE,358.28,Loyal,0
T000086,C0016,2024-04-05,3537.77,NONE,3537.77,Loyal,0
T000087,C0016,2024-06-03,534.75,NONE,534.75,Loyal,0
